V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
0,36508;0,15814;0,1875;0,33393;0,3725;0,6502;0,65254;0,4217;0,42088;0,43455;0,43268;0,30242;0,29692;0,63254;0,67355;0,36939;0,3739;0,36429;0,36011;0
0,35462;0,08776;0,1581;0,29317;0,3339;0,53868;0,6502;0,3215;0,4217;0,42269;0,43455;0,26102;0,30242;0,53229;0,63254;0,36467;0,36939;0,36724;0,36429;0
0,35191;0,11305;0,0878;0,24465;0,2932;0,51407;0,53868;0,27436;0,3215;0,40304;0,42269;0,22423;0,26102;0,50805;0,53229;0,36;0,36467;0,36363;0,36724;0
0,34404;0,11524;0,113;0,15939;0,2447;0,50898;0,51407;0,30597;0,27436;0,46364;0,40304;0,2829;0,22423;0,50672;0,50805;0,3545;0,36;0,35718;0,36363;0
0,34982;0,08374;0,1152;0,11537;0,1594;0,539;0,50898;0,32531;0,30597;0,53157;0,46364;0,39419;0,2829;0,53322;0,50672;0,35144;0,3545;0,35309;0,35718;0
0,3561;0,04904;0,0837;0,10419;0,1154;0,58492;0,539;0,41947;0,32531;0,55034;0,53157;0,44303;0,39419;0,57862;0,53322;0,35034;0,35144;0,3513;0,35309;0
0,35954;0,06305;0,049;0,09627;0,1042;0,60181;0,58492;0,44438;0,41947;0,60698;0,55034;0,4941;0,44303;0,60724;0,57862;0,34964;0,35034;0,35228;0,3513;0
0,35105;0,06335;0,0631;0,09586;0,0963;0,60014;0,60181;0,44644;0,44438;0,58252;0,60698;0,50067;0,4941;0,60338;0,60724;0,34996;0,34964;0,35211;0,35228;0
0,34367;0,06479;0,0633;0,09652;0,0959;0,56396;0,60014;0,40672;0,44644;0,58837;0,58252;0,58525;0,50067;0,55891;0,60338;0,34963;0,34996;0,35204;0,35211;0
0,32374;0,15806;0,0648;0,1059;0,0965;0,49201;0,56396;0,33614;0,40672;0,55849;0,58837;0,50761;0,58525;0,49048;0,55891;0,34884;0,34963;0,34682;0,35204;0
0,34515;0,14684;0,1581;0,10357;0,1059;0,54135;0,49201;0,35558;0,33614;0,59747;0,55849;0,58948;0,50761;0,51698;0,49048;0,34927;0,34884;0,34463;0,34682;0
0,32386;0,14181;0,1468;0,11094;0,1036;0,50617;0,54135;0,33553;0,35558;0,5652;0,59747;0,57424;0,58948;0,52044;0,51698;0,34868;0,34927;0,33749;0,34463;0
0,30823;0,1728;0,1418;0,13069;0,1109;0,48348;0,50617;0,34355;0,33553;0,52062;0,5652;0,5505;0,57424;0,50113;0,52044;0,34745;0,34868;0,32893;0,33749;0
0,26763;0,32689;0,1728;0,19842;0,1307;0,42644;0,48348;0,35241;0,34355;0,47289;0,52062;0,54881;0,5505;0,41632;0,50113;0,3437;0,34745;0,31372;0,32893;0
0,24339;0,47177;0,3269;0,27479;0,1984;0,30125;0,42644;0,24786;0,35241;0,40375;0,47289;0,4552;0,54881;0,29663;0,41632;0,33942;0,3437;0,29765;0,31372;0
0,2552;0,39379;0,4718;0,31843;0,2748;0,3919;0,30125;0,32321;0,24786;0,43206;0,40375;0,48696;0,4552;0,35894;0,29663;0,33497;0,33942;0,27966;0,29765;0
0,26615;0,27559;0,3938;0,34459;0,3184;0,46491;0,3919;0,38061;0,32321;0,39869;0,43206;0,43002;0,48696;0,47317;0,35894;0,33128;0,33497;0,26812;0,27966;0
0,23539;0,15645;0,2756;0,38134;0,3446;0,49177;0,46491;0,43103;0,38061;0,33379;0,39869;0,34545;0,43002;0,53255;0,47317;0,32455;0,33128;0,25355;0,26812;0
0,21102;0,23582;0,1564;0,42471;0,3813;0,49126;0,49177;0,50638;0,43103;0,30149;0,33379;0,34369;0,34545;0,48622;0,53255;0,31629;0,32455;0,24223;0,25355;0
0,2365;0,23732;0,2358;0,4365;0,4247;0,52912;0,49126;0,47433;0,50638;0,35519;0,30149;0,38361;0,34369;0,47757;0,48622;0,3096;0,31629;0,24085;0,24223;0
0,23514;0,21942;0,2373;0,44382;0,4365;0,49516;0,52912;0,40992;0,47433;0,37102;0,35519;0,4049;0,38361;0,51178;0,47757;0,30311;0,3096;0,23684;0,24085;0
0,25065;0,1586;0,2194;0,44184;0,4438;0,62313;0,49516;0,47059;0,40992;0,40299;0,37102;0,44467;0,4049;0,6368;0,51178;0,29791;0,30311;0,23374;0,23684;0
0,24043;0,16228;0,1586;0,44078;0,4418;0,66248;0,62313;0,49451;0,47059;0,39878;0,40299;0,39483;0,44467;0,65664;0,6368;0,29233;0,29791;0,23475;0,23374;0
0,23563;0,06918;0,1623;0,44058;0,4408;0,57848;0,66248;0,42134;0,49451;0,38025;0,39878;0,32867;0,39483;0,58155;0,65664;0,28691;0,29233;0,23967;0,23475;0
0,23108;0,08104;0,0692;0,43356;0,4406;0,56961;0,57848;0,43644;0,42134;0,36131;0,38025;0,29987;0,32867;0,55266;0,58155;0,28098;0,28691;0,23859;0,23967;0
0,24474;0,08248;0,081;0,41034;0,4336;0,56452;0,56961;0,35671;0,43644;0,37931;0,36131;0,27068;0,29987;0,55479;0,55266;0,27541;0,28098;0,24051;0,23859;0
0,2456;0,06541;0,0825;0,37602;0,4103;0,59517;0,56452;0,35155;0,35671;0,39563;0,37931;0,3017;0,27068;0,59872;0,55479;0,26971;0,27541;0,2395;0,24051;0
