V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
0,60090;0,12705;0,2060;0,29518;0,3021;0,41161;0,26724;0,51606;0,39395;0,29623;0,21896;0,38317;0,30852;0,43827;0,31644;0,63868;0,64350;0,57982;0,58610;1;0
0,54215;0,15143;0,1270;0,31927;0,2952;0,33330;0,41161;0,47333;0,51606;0,20673;0,29623;0,34222;0,38317;0,41975;0,43827;0,63126;0,63868;0,56897;0,57982;0;0
0,56457;0,14373;0,1514;0,31958;0,3193;0,40435;0,33330;0,55821;0,47333;0,20143;0,20673;0,32217;0,34222;0,43990;0,41975;0,62493;0,63126;0,56565;0,56897;0;0
0,55336;0,14901;0,1437;0,29919;0,3196;0,39789;0,40435;0,56652;0,55821;0,19056;0,20143;0,32112;0,32217;0,41878;0,43990;0,61675;0,62493;0,56350;0,56565;0;0
0,55471;0,15015;0,1490;0,26817;0,2992;0,32042;0,39789;0,40343;0,56652;0,22166;0,19056;0,36594;0,32112;0,39084;0,41878;0,60883;0,61675;0,56314;0,56350;0;0
0,55874;0,04420;0,1501;0,23971;0,2682;0,43343;0,32042;0,54402;0,40343;0,27038;0,22166;0,42545;0,36594;0,46654;0,39084;0,60209;0,60883;0,55471;0,56314;0;0
0,55291;0,01917;0,0442;0,22762;0,2397;0,38254;0,43343;0,45439;0,54402;0,28933;0,27038;0,44664;0,42545;0,43665;0,46654;0,59646;0,60209;0,55686;0,55471;0;0
0,55157;0,00331;0,0192;0,22202;0,2276;0,40031;0,38254;0,47219;0,45439;0,30762;0,28933;0,44716;0,44664;0,44574;0,43665;0,59168;0,59646;0,55426;0,55686;0;0
0,55112;0,00586;0,0033;0,21945;0,2220;0,39708;0,40031;0,52678;0,47219;0,32456;0,30762;0,52142;0,44716;0,43925;0,44574;0,58756;0,59168;0,55381;0,55426;0;0
0,55695;0,00816;0,0059;0,21683;0,2194;0,40031;0,39708;0,44609;0,52678;0,30695;0,32456;0,54663;0,52142;0,44574;0,43925;0,58430;0,58756;0,55426;0,55381;0;0
0,58789;0,09942;0,0082;0,19811;0,2168;0,46655;0,40031;0,53213;0,44609;0,33752;0,30695;0,56791;0,54663;0,50422;0,44574;0,58173;0,58430;0,56009;0,55426;0;0
0,60135;0,15556;0,0994;0,16947;0,1981;0,49320;0,46655;0,53865;0,53213;0,39382;0,33752;0,67725;0,56791;0,54841;0,50422;0,57928;0,58173;0,56978;0,56009;0;0
0,61614;0,19109;0,1556;0,16342;0,1695;0,52067;0,49320;0,56121;0,53865;0,42233;0,39382;0,60854;0,67725;0,57602;0,54841;0,57877;0,57928;0,58269;0,56978;0;0
0,59776;0,14657;0,1911;0,15207;0,1634;0,47704;0,52067;0,52678;0,56121;0,38296;0,42233;0,58420;0,60854;0,52924;0,57602;0,57753;0,57877;0,59202;0,58269;0;0
0,60269;0,05841;0,1466;0,13548;0,1521;0,43018;0,47704;0,44371;0,52678;0,38704;0,38296;0,58167;0,58420;0,46849;0,52924;0,57617;0,57753;0,60117;0,59202;0;0
